Film,Year,Position,Edition,id_imdb,rate,rate_count,duration,genres,country,budget,gross
The Sound of Music,1965,Winner,38,0059742,8.0,204990.0,172.0,"[' Biography', ' Drama', ' Family', ' Musical', ' Romance']",['USA'],8200000.0,159428329.0
Darling,1965,Nominee,38,0059084,7.1,6007.0,128.0,"[' Drama', ' Romance']",['UK'],544000.0,137.0
Doctor Zhivago,1965,Nominee,38,0059113,8.0,69770.0,197.0,"[' Drama', ' Romance', ' War']","['Italy', 'UK', 'USA']",11000000.0,111920684.0
Ship of Fools,1965,Nominee,38,0059712,7.1,5191.0,149.0,"[' Drama', ' Romance', ' War']",['USA'],4000000.0,
A Thousand Clowns,1965,Nominee,38,0059798,7.4,3179.0,118.0,"[' Comedy', ' Drama', ' Romance']",['USA'],,
A Man for All Seasons,1966,Winner,39,0060665,7.7,31160.0,120.0,"[' Biography', ' Drama', ' History']",['UK'],2000000.0,
Alfie,1966,Nominee,39,0060086,7.0,13493.0,114.0,"[' Comedy', ' Drama']",['UK'],800000.0,
"The Russians Are Coming, the Russians Are Coming",1966,Nominee,39,0060921,7.1,8021.0,126.0,"[' Comedy', ' War']",['USA'],3900000.0,
The Sand Pebbles,1966,Nominee,39,0060934,7.6,13501.0,182.0,"[' Adventure', ' Drama', ' Romance', ' War']",['USA'],12000000.0,
Who's Afraid of Virginia Woolf?,1966,Nominee,39,0061184,8.0,68840.0,131.0,[' Drama'],['USA'],7500000.0,28005068.0
In the Heat of the Night,1967,Winner,40,0061811,7.9,67665.0,110.0,"[' Crime', ' Drama', ' Mystery', ' Thriller']",['USA'],2000000.0,27669.0
Bonnie and Clyde,1967,Nominee,40,0061418,7.8,102187.0,111.0,"[' Action', ' Biography', ' Crime', ' Drama']",['USA'],2500000.0,
Doctor Dolittle,1967,Nominee,40,0061584,6.2,8539.0,152.0,"[' Adventure', ' Comedy', ' Family', ' Fantasy', ' Musical', ' Romance']",['USA'],17000000.0,
The Graduate,1967,Nominee,40,0061722,8.0,253307.0,106.0,"[' Comedy', ' Drama', ' Romance']",['USA'],3000000.0,105015008.0
Guess Who's Coming to Dinner,1967,Nominee,40,0061735,7.8,39547.0,108.0,"[' Comedy', ' Drama']",['USA'],4000000.0,56666667.0
Oliver!,1968,Winner,41,0063385,7.4,34734.0,153.0,"[' Drama', ' Family', ' Musical']",['UK'],10000000.0,
Funny Girl,1968,Nominee,41,0062994,7.4,19755.0,151.0,"[' Biography', ' Comedy', ' Drama', ' Musical', ' Romance']",['USA'],14100000.0,52224636.0
The Lion in Winter,1968,Nominee,41,0063227,7.9,28952.0,134.0,"[' Biography', ' Drama', ' History']","['UK', 'USA']",4000000.0,18177.0
"Rachel, Rachel",1968,Nominee,41,0063483,7.3,3028.0,101.0,"[' Drama', ' Romance']",['USA'],700000.0,
Romeo and Juliet,1968,Nominee,41,0063518,7.6,29363.0,138.0,"[' Drama', ' Romance']","['UK', 'Italy']",,6292.0
Midnight Cowboy,1969,Winner,42,0064665,7.8,100866.0,113.0,[' Drama'],['USA'],3600000.0,44801177.0
Anne of the Thousand Days,1969,Nominee,42,0064030,7.5,6683.0,145.0,"[' Biography', ' Drama', ' History']",['UK'],,
Butch Cassidy and the Sundance Kid,1969,Nominee,42,0064115,8.0,201622.0,110.0,"[' Biography', ' Crime', ' Drama', ' Western']",['USA'],6000000.0,102310697.0
"Hello, Dolly!",1969,Nominee,42,0064418,7.1,13561.0,146.0,"[' Adventure', ' Comedy', ' Musical', ' Romance']",['USA'],25000000.0,400881.0
Z,1969,Nominee,42,0065234,8.3,23861.0,127.0,"[' Crime', ' Drama', ' History', ' Thriller']","['France', 'Algeria']",,83305.0
Patton,1970,Winner,43,0066206,7.9,93664.0,172.0,"[' Biography', ' Drama', ' War']",['USA'],12000000.0,61749765.0
